Tick:	../../data/RTRX.txt
N in:	10
numBatch:	10
numEpoch:	10
errorCalc:mean_absolute_error
opt:	sgd
errors:	0.00563428830355 0.00115453265607 0.00328828301281 0.00741258030757 0.00935576856136 0.00130969355814 0.00101095403079 0.0108814807609 0.00978504586965 0.00733620999381 0.00784511491656 0.00798164959997 0.00555038172752 
mean error:	0.0058657137228
error variance:	1.03013733098e-05
error kurtosis:	-1.2406747708725463
